null,1,복통
null,2,생리통
null,3,치통
null,4,두통
null,5,빈혈
null,6,갑상선
null,7,당뇨병
null,8,영양실조
null,9,신경통
null,10,감기
null,11,코로나
null,12,아토피
null,13,탈장
null,14,요로결석
null,15,비만
null,16,알콜중독
null,17,결막염
null,18,녹내장
null,19,백혈병
null,20,조현병
null,21,감기
null,22,인후통
null,23,당뇨병
null,24,식도염
null,25,위염
null,26,위암
null,27,변비
null,28,폐렴
null,29,췌장염
null,30,스트레스
null,31,피로
null,32,식욕감퇴
null,33,과식
null,34,구토
null,35,진통
null,36,소염
null,37,식체구역
null,38,위부팽만감
null,39,고열
null,40,흉터
null,41,체력저하
null,42,비염
null,43,
null,44,
null,45,
null,46,
null,47,
null,48,
null,49,
null,50,
null,51,
null,52,
null,53,
null,54,
null,55,
null,56,
null,57,
null,58,
null,59,
,,
,,
