M1000,비맥스메타정,피로
M1001,까스활명수큐액,식욕감퇴
M1002,케토톱플라스타,진통
M1003,타이레놀,두통
M1004,아로나민골드,피로
M1005,광동경옥고,피로
M1006,판피린큐액,"""고열\, 진통\, 소염"""
M1007,판콜에스내복액,감기
M1008,탁센 연질캡슐 나프록센,진통
M1009,노스카나겔,흉터
M1010,텐텐츄정,체력저하
M1011,게보린,"""두통\, 생리통\, 치통"""
M1012,지르텍,비염
M1013,임팩타민프리미엄,피로
M1014,잇치페이스트치약,"""치은염, 치조"""
M1015,이가탄에프,"""치은염\, 치조"""
M1016,렛잇비정,피로
M1017,벤포벨정B,피로
M1018,베나치오에프액,"""식욕감퇴\, 소화불량\, 과식\, 구토"""
M1019,인사돌플러스,"""치은염\, 치주염"""
M1020,아렉스,당뇨
M1021,엑세라민엑소정,피로
M1022,돌코락스,변비
M1023,아이톡,안구건조
M1024,후시딘 연고,찰과상
M1025,광동우황청심원현탁액,긴장
M1026,대웅우루사연질캡슐,피로
M1027,비판텐연고,찰과상
M1028,머시론정,임신
M1029,아로나민씨플러스,피로
M1030,이지엔6이브연질캡슐,"""두통\, 치통"""
M1031,복합우루사연질캡슐,"""피로\, 권태"""
M1032,센시아정,진통
M1033,아로나민실버프리미엄,피로
M1034,임팩타민케어정,피로
M1035,마데카솔케어연고,찰과상
M1036,카베진코와알파,식도염
M1037,케펨플라스타,진통
M1038,코앤쿨 나잘스프레이,감기
M1039,무조날에스네일라카,피부질환
M1040,겔포스엠현탁액,위염
M1041,삐콤씨파워,피로
M1042,훼스탈플러스,소화불량
M1043,인사돌,잇몸질환
M1044,마그비액티브,피로
M1045,제놀파워풀플라스타,근육통
M1046,잇치페이스트피톤치드,잇몸질환
M1047,메가트루파워,피로
M1048,메이킨큐장용정,변비
M1049,노스카나겔,흉터
M1050,센시아,정맥순환
M1051,디펜쿨플라스타,진통
M1052,마그비감마연질캡슐,피로
M1053,엑세라민비정,피로
M1054,액티리버모닝연잘캅셀,피로
M1055,안티푸라민쿨카타플라스마,진통
M1056,오트리빈멘톨,코막힘
M1057,써버쿨액,진통
M1058,아로나민이맥스플러스,피로
M1059,프렌즈아이드롭점안액촉촉한쿨,안구건조
M1060,비맥스액티브정,피로
M1061,유한비타민C,피로
M1062,프렌즈아이드롭점안액시원한쿨아이,안구건조
M1063,아렉스 중형,근육통
M1064,치센캡슐,치질
M1065,넥스가드스펙트라,복통
M1066,스티모린크림,찰과상
M1067,광동원탕,고열
M1068,판시딜,탈모
M1069,제일 롱파프 플라스타,진통
M1070,멜리안정,생리불순
M1071,오큐시스점안액,안구건조
